"anio","mes","clae2_desc","clae2","porc_medio","mes_cuali"
2007,5,"Fabricación de productos metálicos",25,7.95,"Mayo"
2007,5,"Fabricación de sustancias químicas",20,22.78,"Mayo"
2007,5,"Imprentas y editoriales",18,20.02,"Mayo"
2007,5,"Industrias básicas de hierro y acero",24,6.01,"Mayo"
2007,5,"Industrias manufactureras diversas",32,22.53,"Mayo"
2007,5,"Ingeniería civil",42,5.18,"Mayo"
2007,5,"Investigación y desarrollo científico",72,58.84,"Mayo"
2007,5,"Juegos de azar, apuestas",92,48.02,"Mayo"
2007,5,"Otras actividades profesionales, científicas y técnicas",74,32.89,"Mayo"
2007,5,"Otras industrias extractivas",8,6.89,"Mayo"
2007,5,"Otros servicios personales",96,43.74,"Mayo"
2007,5,"Pesca y acuicultura",3,13.53,"Mayo"
2007,5,"Programación y radiodifusión",60,26.56,"Mayo"
2007,5,"Recolección, transporte, tratamiento y disposición final de residuos",38,4.68,"Mayo"
2007,5,"Reparación de computadoras y equipos de uso doméstico",95,17.12,"Mayo"
2007,5,"Reparacion de maquinaria y equipo",33,8.1,"Mayo"
2007,5,"Servicio de correo y mensajería",53,13.39,"Mayo"
2007,5,"Servicios a edificios y actividades de jardinería",81,47.7,"Mayo"
2007,5,"Servicios artísticos y de espectáculos",90,30,"Mayo"
2007,5,"Servicios audiovisuales",59,41,"Mayo"
2007,5,"Servicios auxiliares de la actividad financiera y de seguros",66,49.16,"Mayo"
2007,5,"Servicios de alojamiento",55,51.85,"Mayo"
