"anio","clae2_desc","clae2","porc_medio"
2012,"Industrias básicas de hierro y acero",24,6.64
2012,"Industrias manufactureras diversas",32,21.36
2012,"Ingeniería civil",42,6.43
2012,"Investigación y desarrollo científico",72,60.34
2012,"Juegos de azar, apuestas",92,48.89
2012,"Otras actividades profesionales, científicas y técnicas",74,42.69
2012,"Otras industrias extractivas",8,8.55
2012,"Otros servicios personales",96,47.44
2012,"Pesca y acuicultura",3,11.4
2012,"Programación y radiodifusión",60,26.97
2012,"Recolección, transporte, tratamiento y disposición final de residuos",38,3.99
2012,"Reparación de computadoras y equipos de uso doméstico",95,19.37
2012,"Reparacion de maquinaria y equipo",33,9
2012,"Servicio de correo y mensajería",53,12.21
2012,"Servicios a edificios y actividades de jardinería",81,52.42
2012,"Servicios artísticos y de espectáculos",90,33.28
2012,"Servicios audiovisuales",59,41.96
2012,"Servicios auxiliares de la actividad financiera y de seguros",66,52.31
2012,"Servicios de alojamiento",55,54.76
2012,"Servicios de arquitectura e ingeniería",71,16.83
2012,"Servicios de asociaciones",94,49.24
2012,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",91,56.49
2012,"Servicios de depuración de agua residual, alcantarillado y cloacas",37,12.92
2012,"Servicios de expendio de alimentos y bebidas",56,40.79
2012,"Servicios de obtención y dotación de personal",78,24.43
2012,"Servicios de programación, consultoría informática y actividades conexas",62,30.63
2012,"Servicios de publicidad e investigación de mercado",73,48.13
2012,"Servicios de salud humana",86,71.49
2012,"Servicios de seguros, reaseguros y pensiones",65,51.54
2012,"Servicios financieros (excepto seguros y pensiones)",64,48.19
2012,"Servicios inmobiliarios",68,35.85
2012,"Servicios jurídicos y de contabilidad",69,67.87
2012,"Servicios sin alojamiento",88,77.07
2012,"Servicios sociales con alojamiento",87,87.54
2012,"Servicios veterinarios",75,51.28
2012,"Servicios y asesoramiento de dirección y gestión empresarial",70,40.85
2012,"Silvicultura y explotación forestal",2,4.6
2012,"Sin clasificar",999999,26.21
2012,"Suministro de electricidad, gas, vapor y aire acondicionado",35,16.45
2012,"Telecomunicaciones",61,36.47
2012,"Transporte aéreo",51,40.86
2012,"Transporte marítimo y pluvial",50,15.58
2012,"Transporte terrestre y por tuberías",49,5.31
2012,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas",45,16.93
2013,"Actividades administrativas de oficinas y empresas",82,48.13
2013,"Actividades de apoyo a la minería",9,5.93
2013,"Actividades de construcción especializada",43,5.89
2013,"Actividades de investigación y seguridad",80,10.17
2013,"Actividades de organismos extraterritoriales",99,55.66
2013,"Actividades de procesamiento de información",63,36.98
2013,"Actividades deportivas, recreativas y de entretenimiento",93,32.22
2013,"Administración pública, defensa y seguridad social",84,49.99
2013,"Agencias de viajes, servicios de reservas y actividades conexas",79,54.59
2013,"Agricultura, ganadería, caza y servicios relacionados",1,11.89
2013,"Almacenamiento y logística",52,16.27
2013,"Alquiler y leasing",77,15.71
2013,"Captación, depuración y distribución de agua",36,18.76
2013,"Comercio al por mayor excepto autos y motos",46,24.92
2013,"Comercio al por menor excepto autos y motos",47,44.42
2013,"Construcción de edificios y partes",41,4.19
2013,"Descontaminación y otros servicios",39,10.43
2013,"Edición",58,37.69
2013,"Elaboración de bebidas",11,15.89
2013,"Elaboración de prendas de vestir",14,56.79
2013,"Elaboración de productos alimenticios",10,20.24
2013,"Elaboración de productos de cuero",15,25.13
2013,"Elaboración de productos de madera",16,7.92
2013,"Elaboración de productos de papel",17,13.42
2013,"Elaboración de productos de tabaco",12,17.04
2013,"Elaboracion de productos farmaceuticos",21,35.41
2013,"Elaboración de productos textiles",13,23.78
2013,"Enseñanza",85,73.73
